,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
111,Research & Experimental Medicine,1374,3,54,1224,8,66,7,12,0.0010515247108307045,0.00672059738643435,0.04781063239717199,0.007619047619047619,0.007213114754098361,0.006750241080038573,0.005179110919292188
112,Pediatrics,1451,6,110,743,10,525,27,30,0.002103049421661409,0.013690105787181083,0.029022303816257176,0.009523809523809525,0.05737704918032787,0.026036644165863067,0.01294777729823047
113,Operations Research & Management Science,30,2,5,10,3,7,0,3,0.0007010164738871364,0.0006222775357809583,0.0003906097418069607,0.002857142857142857,0.0007650273224043716,0.0,0.001294777729823047
114,Mineralogy,30,5,20,2,0,0,0,3,0.0017525411847178409,0.002489110143123833,7.812194836139214e-05,0.0,0.0,0.0,0.001294777729823047
115,Metallurgy & Metallurgical Engineering,8,2,1,2,0,2,0,1,0.0007010164738871364,0.00012445550715619165,7.812194836139214e-05,0.0,0.0002185792349726776,0.0,0.00043159257660768235
116,Mining & Mineral Processing,4,2,0,1,0,0,0,1,0.0007010164738871364,0.0,3.906097418069607e-05,0.0,0.0,0.0,0.00043159257660768235
117,Entomology,156,9,7,130,0,2,0,8,0.0031545741324921135,0.0008711885500933416,0.005077926643490488,0.0,0.0002185792349726776,0.0,0.0034527406128614588
118,Mathematical Methods In Social Sciences,67,5,0,32,16,11,0,3,0.0017525411847178409,0.0,0.0012499511737822742,0.015238095238095238,0.0012021857923497268,0.0,0.001294777729823047
119,Anatomy & Morphology,16,1,8,5,0,1,0,1,0.0003505082369435682,0.0009956440572495332,0.00019530487090348034,0.0,0.0001092896174863388,0.0,0.00043159257660768235
120,Mycology,28,5,1,15,0,1,0,6,0.0017525411847178409,0.00012445550715619165,0.000585914612710441,0.0,0.0001092896174863388,0.0,0.002589555459646094
121,Astronomy & Astrophysics,1239,2,1150,12,15,0,4,56,0.0007010164738871364,0.1431238332296204,0.0004687316901683528,0.014285714285714285,0.0,0.003857280617164899,0.02416918429003021
122,Crystallography,22,4,6,11,0,0,0,1,0.0014020329477742728,0.00074673304293715,0.00042967071598765675,0.0,0.0,0.0,0.00043159257660768235
123,Obstetrics & Gynecology,1021,3,68,642,9,202,68,29,0.0010515247108307045,0.008462974486621033,0.025077145424006873,0.008571428571428572,0.022076502732240436,0.06557377049180328,0.012516184721622789
124,Oncology,377,1,25,138,13,187,0,13,0.0003505082369435682,0.0031113876789047915,0.005390414436936057,0.012380952380952381,0.020437158469945354,0.0,0.0056107034958998705
125,Endocrinology & Metabolism,306,2,20,95,2,172,0,15,0.0007010164738871364,0.002489110143123833,0.0037107925471661263,0.0019047619047619048,0.018797814207650275,0.0,0.006473888649115235
126,Biotechnology & Applied Microbiology,744,5,83,606,9,21,2,18,0.0017525411847178409,0.010329807093963908,0.023670950353501818,0.008571428571428572,0.0022950819672131148,0.0019286403085824494,0.007768666378938282
127,Virology,1080,2,38,999,4,17,2,18,0.0007010164738871364,0.0047293092719352834,0.03902191320651537,0.0038095238095238095,0.0018579234972677596,0.0019286403085824494,0.007768666378938282
128,"Radiology, Nuclear Medicine & Medical Imaging",145,1,24,70,1,28,0,21,0.0003505082369435682,0.0029869321717486,0.002734268192648725,0.0009523809523809524,0.0030601092896174863,0.0,0.00906344410876133
129,Transplantation,50,1,10,5,1,33,0,0,0.0003505082369435682,0.0012445550715619166,0.00019530487090348034,0.0009523809523809524,0.0036065573770491803,0.0,0.0
130,Rheumatology,47,1,7,25,0,12,0,2,0.0003505082369435682,0.0008711885500933416,0.0009765243545174016,0.0,0.0013114754098360656,0.0,0.0008631851532153647
